market,session,drawsTested,open_panel30,open_sutta30,close_panel30,close_sutta30,jodi_panel30,jodi_sutta30,close_danger,close_snapback,jodi_better,jodi_worse
Sridevi,day,90,10,75.6,13.5,74.2,15.7,73,19.1,12.4,6,4
Time Bazar,day,78,16.7,78.2,19.2,70.5,19.2,71.8,23.1,6.4,5,7
Madhur Day,day,90,22.2,81.1,12.2,64.4,15.6,57.8,30,7.8,2,2
Milan Day,day,78,21.8,73.1,11.5,71.8,14.1,69.2,21.8,11.5,1,4
Rajdhani Day,day,78,21.8,78.2,15.4,70.5,15.4,70.5,25.6,10.3,3,3
Kalyan,day,78,16.7,69.2,21.8,70.5,23.1,69.2,16.7,11.5,7,2
Sridevi Night,night,90,11.1,75.6,11.1,64.4,13.3,57.8,18.9,7.8,5,4
Madhur Night,night,78,14.1,75.6,21.8,88.5,24.4,76.9,11.5,11.5,6,8
Milan Night,night,78,5.1,78.2,20.5,67.9,24.4,62.8,17.9,10.3,8,4
Kalyan Night,night,65,13.8,67.7,13.8,75.4,15.4,76.9,12.3,10.8,4,1
Rajdhani Night,night,65,16.9,73.8,18.5,66.2,20,69.2,23.1,12.3,7,4
Main Bazar,night,64,15.6,68.8,14.1,68.8,17.2,60.9,17.2,10.9,2,3
