market,session,drawsTested,open_panel30,open_sutta30,close_panel30,close_sutta30,jodi_panel30,jodi_sutta30,close_danger,close_snapback,jodi_better,jodi_worse
Sridevi,day,177,12.4,69.5,12.4,75.7,14.1,70.6,17.5,12.4,72,88
Time Bazar,day,151,16.6,70.9,16.6,66.9,16.6,66.2,25.2,5.3,71,61
Madhur Day,day,177,15.3,75.7,15.8,75.7,18.1,67.2,18.6,11.3,71,85
Milan Day,day,151,16.6,63.6,13.9,69.5,14.6,64.9,21.9,11.9,76,64
Rajdhani Day,day,151,17.2,72.8,13.2,70.9,11.9,70.9,21.9,7.9,58,77
Kalyan,day,151,12.6,66.2,14.6,68.9,14.6,65.6,19.9,9.9,69,70
Sridevi Night,night,177,17.5,72.9,15.8,72.9,15.8,61,17.5,9.6,83,76
Madhur Night,night,152,9.9,73.7,15.1,80.9,17.1,71.7,13.8,11.2,82,65
Milan Night,night,150,10.7,76,22.7,71.3,23.3,65.3,18,10,64,67
Kalyan Night,night,125,13.6,72.8,9.6,71.2,12,70.4,18.4,10.4,60,56
Rajdhani Night,night,125,17.6,73.6,15.2,69.6,17.6,69.6,22.4,12,59,56
Main Bazar,night,124,15.3,69.4,14.5,69.4,17.7,62.9,17.7,10.5,50,60
