market,session,drawsTested,open_panel30,open_sutta30,close_panel30,close_sutta30,jodi_panel30,jodi_sutta30,close_danger,close_snapback,jodi_better,jodi_worse
Sridevi,day,31,3.2,80.6,13.3,83.3,10,76.7,10,20,2,1
Time Bazar,day,26,19.2,76.9,15.4,65.4,15.4,65.4,19.2,7.7,1,2
Madhur Day,day,30,20,80,16.7,66.7,26.7,66.7,30,10,1,1
Milan Day,day,26,19.2,65.4,11.5,80.8,19.2,84.6,19.2,11.5,1,1
Rajdhani Day,day,26,23.1,80.8,15.4,61.5,15.4,57.7,38.5,11.5,0,0
Kalyan,day,26,15.4,61.5,7.7,50,7.7,53.8,19.2,11.5,1,0
Sridevi Night,night,30,3.3,80,13.3,66.7,20,63.3,16.7,6.7,2,2
Madhur Night,night,26,11.5,88.5,15.4,88.5,19.2,69.2,11.5,15.4,1,3
Milan Night,night,26,3.8,69.2,23.1,65.4,26.9,65.4,23.1,15.4,3,0
Kalyan Night,night,22,18.2,77.3,22.7,77.3,22.7,86.4,0,18.2,4,0
Rajdhani Night,night,22,27.3,72.7,9.1,45.5,9.1,45.5,40.9,4.5,1,1
Main Bazar,night,22,9.1,81.8,9.1,72.7,13.6,72.7,13.6,9.1,0,1
