market,session,drawsTested,open_panel30,open_sutta30,close_panel30,close_sutta30,jodi_panel30,jodi_sutta30,close_danger,close_snapback,jodi_better,jodi_worse
Sridevi,day,29,6.9,82.8,17.2,82.8,13.8,75.9,13.8,17.2,8,17
Time Bazar,day,25,24,80,20,64,16,60,20,8,10,13
Madhur Day,day,29,17.2,79.3,24.1,82.8,31,79.3,20.7,13.8,13,11
Milan Day,day,25,20,60,16,84,20,88,16,12,15,9
Rajdhani Day,day,25,16,80,12,52,12,52,40,12,11,10
Kalyan,day,25,16,64,8,52,8,56,16,12,8,13
Sridevi Night,night,29,3.4,79.3,17.2,72.4,13.8,62.1,13.8,6.9,17,9
Madhur Night,night,25,12,88,16,88,20,72,12,16,10,15
Milan Night,night,25,4,68,24,64,24,64,24,16,14,8
Kalyan Night,night,21,19,81,23.8,81,23.8,85.7,0,19,12,9
Rajdhani Night,night,21,23.8,76.2,9.5,42.9,9.5,38.1,42.9,4.8,11,9
Main Bazar,night,21,9.5,81,4.8,71.4,9.5,61.9,14.3,4.8,9,11
